NOMBRE_ESTRATO,COD_UPZ_GRUPO
SANTA FE: Las Nieves + Sagrado Corazón,814.0
Santa Isabel,37.0
USAQUÉN: Country Club + Santa Bárbara,803.0
CHAPINERO: Pardo Rubio + Chapinero,816.0
Ciudad Salitre Occidental,110.0
Los Cedros,13.0
USAQUÉN: Paseo de Los Libertadores + La Uribe,804.0
Usaquén,14.0
CHAPINERO: Chicó Lago + El Refugio,817.0
Teusaquillo,101.0
TEUSAQUILLO: Parque Simón Bolívar - CAN + La Esmeralda,808.0
La Candelaria,94.0
Galerías,100.0
Ciudad Salitre Oriental,109.0
Las Ferias,26.0
La Sabana,102.0
La Macarena,92.0
FONTIBÓN: Aeropuerto El Dorado + Capellanía,813.0
Fontibón San Pablo,76.0
KENNEDY: Castilla + Bavaria,802.0
Las Margaritas,83.0
Los Alcázares,98.0
Los Andes,21.0
BARRIOS UNIDOS: Parque Salitre + Doce de Octubre,807.0
Tintál Norte,78.0
Américas,44.0
La Alhambra,20.0
Niza,24.0
Tibabuyes,71.0
Toberín,12.0
Arborizadora,65.0
San Cristóbal Norte,11.0
20 de Julio,34.0
Ciudad Jardín,35.0
Marco Fidel Suárez,53.0
Tunjuelito,62.0
Las Cruces,95.0
Gran Yomasa,57.0
Fontibón,75.0
Granjas de Techo,112.0
Boyacá Real,30.0
Garcés Navas,73.0
ENGATIVÁ: Santa Cecilia + Jardín  Botánico,810.0
Engativá,74.0
San Isidro - Patios,89.0
Venecia,42.0
SUBA: La Academia + Guaymaral + San José de Bavaria,806.0
El Rincón,28.0
Patio Bonito,82.0
San Blas,32.0
Quiroga,39.0
Los Libertadores,51.0
Calandaima,79.0
USME: Alfonso López + Ciudad Usme,811.0
Kennedy Central,47.0
Jerusalén,70.0
Ciudad Montes,40.0
Marruecos,54.0
San José,36.0
San Rafael,43.0
Ismael Perdomo,69.0
La Flora,52.0
Zona Franca,77.0
Gran Britalia,81.0
Diana Turbay,55.0
Carvajal,45.0
El Porvenir,86.0
San Francisco,66.0
Suba,27.0
Bolivia,72.0
Sosiego,33.0
Bosa Occidental,84.0
Timiza,48.0
Britalia,18.0
Lourdes,96.0
Restrepo,38.0
Bosa Central,85.0
Lucero,67.0
Tintál Sur,87.0
Minuto de Dios,29.0
PUENTE ARANDA: Zona Industrial + Puente Aranda,809.0
LA GLORIA,50.0
La Floresta,25.0
Quinta Paredes,107.0
Corabastos,80.0
Apogeo,49.0
Modelia,114.0
Álamos,116.0
Comuneros,58.0
CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,815.0
Verbenal,9.0
Casa Blanca Suba,23.0
El Prado,19.0
Muzú,41.0
USME: Parque Entrenubes + Danubio,812.0
